,State,Theater,Address,XD,Loungers,Seating,Menu,Alcohol,Total,Food/Bar,lats,longs
72,Colorado,Cinemark Tinseltown USA and XD,"1545 E. Cheyenne Mountain Blvd., Colorado Springs CO 80906",1,1,1,1,,1,1,38.7901888,-104.7994092
73,Colorado,Cinemark Movie Bistro and XD,"335 E. Foothills Parkway, Fort Collins CO 80525",1,1,1,1,1,1,1,40.5426294,-105.0733235
74,Colorado,Cinemark Fort Collins,"4721 South Timiberline Rd., Fort Collins CO 80525",,,1,,,1,,40.5207078,-105.0424083
75,Colorado,Cinemark Greeley Mall ,2160 Greeley Mall CO 80631,,,1,,,1,,40.3900613,-104.7136324
76,Colorado,Century 16 Bel Mar and XD,"440 S. Teller St., Lakewood CO 80226",1,1,1,,,1,,39.7082889,-105.0763318
77,Colorado,Cinemark Tinseltown,"4140 North Freeway, Pueblo CO 81008",,,1,,,1,,38.3115021,-104.6116922
78,Connecticut,Enfield 12,"90 Elm Street, Enfield CT 06082",,,1,,,1,,41.9951401,-72.5822206
79,Connecticut,Buckland Hills 18+ IMAX,"99 RedStone Road, Manchester CT 06045",,,1,1,1,1,,41.801245,-72.5481187
80,Connecticut,Cinemark Connecticut Post 14+ and IMAX,"1201 Boston Post Rd., Milford Ct 06460",,,1,1,1,1,,41.2362506,-73.0346111
81,Connecticut,Cinemark North Haven and XD,"550 Universal Drive, North Haven CT 06473",1,1,1,,1,1,1,41.3591228,-72.8734541
82,Delaware,Cinemark Christiana and XD,"1200 Christiana Mall, Newark DE 19702",1,1,1,,,1,,39.6814388,-75.6506936
83,Delaware,Cinemark Movies 10,"1796 W. Newport Pike, Wilmington DE 19804",,,,,,1,,39.7144181,-75.6310832
84,Florida,Cinemark Palace 20 and XD,"3200 Airport Road, Boca Raton FL 33431",1,1,1,1,,1,1,26.376829,-80.1126728
85,Florida,Cinemark Boynton Beach 14 and XD,"1151 N. Congress Avenue, Boynton Beach FL 33426",1,,1,1,1,1,,26.5367381,-80.0939105
86,Florida,Cinemark Paradise 24 and XD,"15601 Sheridan Street, Davie FL 33331",1,1,1,,,1,,26.0323821,-80.3559467
87,Florida,Cinemark Tinseltown and XD,"4535 Southside Blvd., Jacksonville FL 32216",1,1,1,,,1,,30.2633986,-81.5539008
88,Florida,Cinemark Lakeland Square Mall and XD,"3800 US Highway 98 N, Lakeland FL 33809",1,1,1,,1,1,1,28.0937664,-81.9778558
89,Florida,Cinemark Orlando and XD,"5150 Internatioanl Drive, Orlando FL 32819",1,1,1,1,1,1,1,28.4678809,-81.4503024
90,Georgia,Cinemark Movies 10,"157 Banks Station, Fayetteville GA 30214",,,,,,1,,33.4663871,-84.4444825
91,Georgia,Cinemark Tinseltown 17 and XD,"134 Pavilion Parkway, Fayetteville GA 30214",,1,1,,,1,,33.4782236,-84.4445887
92,Illinois,Century Stratford Square,"Stratford Square Mall, Bloomingdale IL 60108",,,1,,,1,,41.9487341,-88.1152702
93,Illinois,Cinemark Movies 10,"1600 North State Route 50, Bourbonnais IL 60914",,1,,,,1,,41.1738442,-87.8473016
94,Illinois,Century 16 Deer Park,"21600 W. Field Parkway, Deer Park IL 60010",,,1,,,1,,42.159402,-88.054914
95,Illinois,Century 12 Evanstone/CineArts 6 and XD,"1715 Maple Ave., Evanston IL 60201",1,,1,1,1,1,,42.0490201,-87.6843819
96,Illinois,Cinemark Louis Joliet Mall,"3340 Mall Loop Drive, Joliet IL 60431",,,1,,,1,,41.5762899,-88.1655663
97,Illinois,Cinemark Melrose Park ,"1001 West North Ave, Melrose Park IL 60160",,,1,1,,1,,41.9098335,-87.8464566
98,Illinois,Cinemark Tinseltown USA,"320 South Lincolnway, North Aurora IL 60542",,,1,,,1,,41.7918474,-88.3249938
99,Illinois,Cinemark @ Seven Bridges and IMAX,"6500 Route 53, Woodridge IL 60517",,,1,,,1,,41.7676458,-88.0703967
100,Illinois,Cinemark Spring Hill Mall and XD,"2000 Spring Hill Mall, West Dundee IL 60118",1,1,,,,1,,42.1027043,-88.2966749
101,Indiana,Cinemark Movies 8,"1848 Stop 13 Road, Indianapolis IN 46227",,,,,,1,,39.6394811,-86.1256794
102,Indiana,Cinemark Movies 14,"910 W. Edison Rd., Mishawaka IN 46545",,1,,,,1,,41.6968282,-86.1949608
103,Indiana,Cinemark at Valparaiso,"700 Porter's Vale Blvd., Valparaiso IN 46383",,,1,,,1,,41.4744179,-87.0160377
104,Iowa,Cinemark Altoona and XD,"2227 Adventureland Dr., NW, Altoona IA 50009",1,1,1,,1,1,,41.6603214,-93.4892128
105,Iowa,Cinemark Movies 12,"1317 Buckeye Ave, Ames IA 50010",,,,,,1,,42.0111075,-93.6137071
